player_id,scenario_id,scenario,action,empathy_response,confidence_response
P001,1,Video bắt nạt trong nhóm chat,Không làm gì,4.05,3.48
P001,2,Chứng kiến bạn bị cô lập,Không làm gì,4.05,3.73
P001,3,Bạn bè rủ tham gia bắt nạt,Hỗ trợ nạn nhân,4.03,3.6
P001,4,Phát hiện bình luận xúc phạm,Không làm gì,3.84,3.42
P001,5,Bạn bị quay video và chia sẻ,Không làm gì,3.67,4.03
P002,1,Video bắt nạt trong nhóm chat,Hỗ trợ nạn nhân,4.42,4.37
P002,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,4.55,4.76
P002,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,4.66,4.85
P002,4,Phát hiện bình luận xúc phạm,Báo giáo viên,4.56,4.61
P002,5,Bạn bị quay video và chia sẻ,Can thiệp trực tiếp,4.52,5.0
P003,1,Video bắt nạt trong nhóm chat,Hỗ trợ nạn nhân,3.56,2.58
P003,2,Chứng kiến bạn bị cô lập,Báo giáo viên,4.02,2.6
P003,3,Bạn bè rủ tham gia bắt nạt,Can thiệp trực tiếp,3.81,2.47
P003,4,Phát hiện bình luận xúc phạm,Không làm gì,3.87,2.46
P003,5,Bạn bị quay video và chia sẻ,Hỗ trợ nạn nhân,4.1,3.05
P004,1,Video bắt nạt trong nhóm chat,Hỗ trợ nạn nhân,2.97,1.95
P004,2,Chứng kiến bạn bị cô lập,Không làm gì,3.09,2.93
P004,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,2.91,2.7
P004,4,Phát hiện bình luận xúc phạm,Không làm gì,3.53,2.15
P004,5,Bạn bị quay video và chia sẻ,Báo giáo viên,3.25,2.7
P005,1,Video bắt nạt trong nhóm chat,Báo giáo viên,3.26,3.24
P005,2,Chứng kiến bạn bị cô lập,Hỗ trợ nạn nhân,3.2,3.04
P005,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.19,2.98
P005,4,Phát hiện bình luận xúc phạm,Không làm gì,3.36,3.1
P005,5,Bạn bị quay video và chia sẻ,Hỗ trợ nạn nhân,3.41,2.9
P006,1,Video bắt nạt trong nhóm chat,Không làm gì,3.39,4.43
P006,2,Chứng kiến bạn bị cô lập,Hỗ trợ nạn nhân,2.81,4.31
P006,3,Bạn bè rủ tham gia bắt nạt,Can thiệp trực tiếp,3.62,3.92
P006,4,Phát hiện bình luận xúc phạm,Không làm gì,3.73,4.32
P006,5,Bạn bị quay video và chia sẻ,Hỗ trợ nạn nhân,3.13,4.21
P007,1,Video bắt nạt trong nhóm chat,Không làm gì,3.98,2.49
P007,2,Chứng kiến bạn bị cô lập,Không làm gì,3.97,2.24
P007,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.88,2.12
P007,4,Phát hiện bình luận xúc phạm,Báo giáo viên,3.81,2.24
P007,5,Bạn bị quay video và chia sẻ,Hỗ trợ nạn nhân,3.66,2.78
P008,1,Video bắt nạt trong nhóm chat,Không làm gì,3.89,3.39
P008,2,Chứng kiến bạn bị cô lập,Không làm gì,3.35,3.16
P008,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.92,3.28
P008,4,Phát hiện bình luận xúc phạm,Báo giáo viên,4.2,3.34
P008,5,Bạn bị quay video và chia sẻ,Không làm gì,3.67,3.16
P009,1,Video bắt nạt trong nhóm chat,Không làm gì,3.95,2.59
P009,2,Chứng kiến bạn bị cô lập,Hỗ trợ nạn nhân,4.1,2.87
P009,3,Bạn bè rủ tham gia bắt nạt,Can thiệp trực tiếp,3.72,2.3
P009,4,Phát hiện bình luận xúc phạm,Hỗ trợ nạn nhân,3.46,2.76
P009,5,Bạn bị quay video và chia sẻ,Không làm gì,3.64,2.09
P010,1,Video bắt nạt trong nhóm chat,Can thiệp trực tiếp,4.47,5.0
P010,2,Chứng kiến bạn bị cô lập,Báo giáo viên,4.37,4.61
P010,3,Bạn bè rủ tham gia bắt nạt,Can thiệp trực tiếp,4.39,4.38
P010,4,Phát hiện bình luận xúc phạm,Can thiệp trực tiếp,4.6,4.33
P010,5,Bạn bị quay video và chia sẻ,Hỗ trợ nạn nhân,4.44,4.48
P011,1,Video bắt nạt trong nhóm chat,Không làm gì,3.22,3.4
P011,2,Chứng kiến bạn bị cô lập,Báo giáo viên,3.35,2.96
P011,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.52,2.93
P011,4,Phát hiện bình luận xúc phạm,Báo giáo viên,3.4,3.15
P011,5,Bạn bị quay video và chia sẻ,Không làm gì,3.66,3.27
P012,1,Video bắt nạt trong nhóm chat,Không làm gì,3.64,4.18
P012,2,Chứng kiến bạn bị cô lập,Không làm gì,4.0,4.12
P012,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.65,3.65
P012,4,Phát hiện bình luận xúc phạm,Hỗ trợ nạn nhân,3.38,3.9
P012,5,Bạn bị quay video và chia sẻ,Báo giáo viên,3.5,3.93
P013,1,Video bắt nạt trong nhóm chat,Can thiệp trực tiếp,3.69,4.43
P013,2,Chứng kiến bạn bị cô lập,Không làm gì,3.66,4.42
P013,3,Bạn bè rủ tham gia bắt nạt,Can thiệp trực tiếp,3.7,3.81
P013,4,Phát hiện bình luận xúc phạm,Can thiệp trực tiếp,3.45,4.26
P013,5,Bạn bị quay video và chia sẻ,Báo giáo viên,3.38,4.45
P014,1,Video bắt nạt trong nhóm chat,Không làm gì,4.14,2.7
P014,2,Chứng kiến bạn bị cô lập,Không làm gì,3.71,2.77
P014,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.8,2.32
P014,4,Phát hiện bình luận xúc phạm,Không làm gì,3.61,2.32
P014,5,Bạn bị quay video và chia sẻ,Không làm gì,3.66,2.44
P015,1,Video bắt nạt trong nhóm chat,Không làm gì,3.21,2.84
P015,2,Chứng kiến bạn bị cô lập,Báo giáo viên,3.28,3.14
P015,3,Bạn bè rủ tham gia bắt nạt,Hỗ trợ nạn nhân,3.41,2.47
P015,4,Phát hiện bình luận xúc phạm,Không làm gì,2.53,3.07
P015,5,Bạn bị quay video và chia sẻ,Không làm gì,2.83,2.78
P016,1,Video bắt nạt trong nhóm chat,Không làm gì,3.47,3.58
P016,2,Chứng kiến bạn bị cô lập,Không làm gì,3.9,4.22
P016,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.62,3.38
P016,4,Phát hiện bình luận xúc phạm,Hỗ trợ nạn nhân,3.62,4.13
P016,5,Bạn bị quay video và chia sẻ,Can thiệp trực tiếp,3.39,4.08
P017,1,Video bắt nạt trong nhóm chat,Can thiệp trực tiếp,3.89,3.86
P017,2,Chứng kiến bạn bị cô lập,Báo giáo viên,3.92,3.48
P017,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,4.19,3.68
P017,4,Phát hiện bình luận xúc phạm,Không làm gì,3.88,3.49
P017,5,Bạn bị quay video và chia sẻ,Báo giáo viên,3.78,3.5
P018,1,Video bắt nạt trong nhóm chat,Không làm gì,3.44,3.3
P018,2,Chứng kiến bạn bị cô lập,Không làm gì,3.14,2.47
P018,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.85,2.82
P018,4,Phát hiện bình luận xúc phạm,Không làm gì,3.31,3.13
P018,5,Bạn bị quay video và chia sẻ,Không làm gì,3.33,3.33
P019,1,Video bắt nạt trong nhóm chat,Không làm gì,4.04,3.4
P019,2,Chứng kiến bạn bị cô lập,Không làm gì,4.41,3.37
P019,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,4.06,3.59
